Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species
79	Spectrogram 1	1	70.333117725	71.59298139100001	1422.6	4678.1	WOTH
80	Spectrogram 1	1	70.814636299	73.723536177	1203.7	2407.4	NOCA
81	Spectrogram 1	1	72.04912602600001	73.17047065	1805.6	2817.8	TUTI
82	Spectrogram 1	1	73.092713288	74.649403472	3200.8	4650.7	EATO
83	Spectrogram 1	1	73.125694012	74.609826603	1231.1	3310.2	WOTH
84	Spectrogram 1	1	74.590038169	75.87628641399999	2872.5	4349.8	BCCH
85	Spectrogram 1	1	76.574393773	77.656161529	1340.5	4213.0	WOTH
86	Spectrogram 1	1	77.16804681	78.236622275	1778.2	2681.0	TUTI
87	Spectrogram 1	1	77.497854052	80.18908115	1313.2	2325.4	NOCA
88	Spectrogram 1	1	78.236622275	79.78012017	2161.2	4760.2	EATO
89	Spectrogram 1	1	79.214560613	80.236963064	3118.7	4185.7	BCCH
90	Spectrogram 1	1	80.072059443	81.160423343	1614.1	4295.1	WOTH
91	Spectrogram 1	1	83.109234818	84.82539979399999	3200.8	4814.9	EATO
92	Spectrogram 1	1	83.275305754	84.653900028	1504.7	4650.7	WOTH
93	Spectrogram 1	1	83.48944770199999	84.602242768	3361.9	4251.8	BCCH
94	Spectrogram 1	1	87.300277562	88.223737841	1340.5	4048.9	WOTH
95	Spectrogram 1	1	87.30687370700001	90.57856155200001	2708.4	9219.4	OVEN
96	Spectrogram 1	1	88.283103145	89.338486321	1805.6	2653.7	TUTI
97	Spectrogram 1	1	88.34246844799999	91.594367859	1176.4	3884.7	NOCA
98	Spectrogram 1	1	89.03049844600002	90.22705228	2175.3	5339.5	EATO
99	Spectrogram 1	1	90.80174676799999	92.28587935899999	1285.8	5608.3	WOTH
100	Spectrogram 1	1	92.569513587	93.644685197	1778.2	2790.4	TUTI
101	Spectrogram 1	1	92.656274254	92.88713932299999	2817.8	4021.5	EATO
102	Spectrogram 1	1	93.22912807200001	94.44281872399999	3064.0	4295.1	BCCH
103	Spectrogram 1	1	93.988695513	95.11004013700001	1313.2	3282.9	WOTH
104	Spectrogram 1	1	94.58894469399999	95.057270979	2927.2	4623.4	EATO
105	Spectrogram 1	1	95.02460277899999	99.97830756	1285.8	2598.9	NOCA
106	Spectrogram 1	1	95.987639926	98.230329175	1641.4	3884.7	NOCA
107	Spectrogram 1	1	97.35304191	98.29629062299999	1504.7	4431.9	WOTH
108	Spectrogram 1	1	97.847752774	99.345077654	2954.6	4678.1	EATO
109	Spectrogram 1	1	100.061577358	101.196114271	2106.5	2790.4	TUTI
110	Spectrogram 1	1	100.773961001	101.723805859	1176.4	3337.6	WOTH
111	Spectrogram 1	1	101.98765165299999	103.16176543600001	3009.3	4377.2	BCCH
112	Spectrogram 1	1	102.259364009	102.48072646799999	2669.7	4087.0	EATO
113	Spectrogram 1	1	102.831572601	105.67451103100001	1367.9	3748.0	NOCA
114	Spectrogram 1	1	103.66268685200001	106.795855655	1258.4	2325.4	NOCA
115	Spectrogram 1	1	103.812519626	104.76857918399999	1723.5	4158.3	WOTH
116	Spectrogram 1	1	104.48416136600001	105.91070666200001	2325.4	5690.3	EATO
117	Spectrogram 1	1	105.842874063	106.81806543799999	2043.5	2636.8	TUTI
118	Spectrogram 1	1	106.019917597	107.220415959	2899.9	4349.8	BCCH
119	Spectrogram 1	1	107.36553114600001	109.07167457799999	1203.7	5936.5	WOTH
120	Spectrogram 1	1	109.364788209	113.67866694	1340.5	2270.7	NOCA
121	Spectrogram 1	1	109.615441713	113.69185923	1778.2	5498.8	NOCA
122	Spectrogram 1	1	110.670824889	112.333053391	1641.4	6100.7	EATO
123	Spectrogram 1	1	112.58731749	113.79441199700001	3146.1	4349.8	BCCH
124	Spectrogram 1	1	113.85377730100001	115.483025078	218.9	1942.4	WITU
125	Spectrogram 1	1	114.487007206	115.476428933	1641.4	4486.6	WOTH
126	Spectrogram 1	1	115.14553798200001	117.566323141	2681.0	8836.4	OVEN
127	Spectrogram 1	1	117.28928505799999	118.463398841	1641.4	2817.8	TUTI
128	Spectrogram 1	1	117.47638413	121.73749370200001	1367.9	2243.3	NOCA
129	Spectrogram 1	1	118.14259476	119.501400599	2298.0	6128.0	EATO
130	Spectrogram 1	1	119.09903576299999	121.361513446	1887.7	3802.7	NOCA
131	Spectrogram 1	1	121.38611605700001	122.428306943	1832.9	3884.7	WOTH
132	Spectrogram 1	1	122.59980670899999	123.21324818	3529.1	4459.2	BCCH
133	Spectrogram 1	1	122.768513723	126.37000881	1313.2	2270.7	NOCA
134	Spectrogram 1	1	123.688170609	125.126130186	2407.4	5827.1	EATO
135	Spectrogram 1	1	125.169510448	126.726200632	1887.7	5717.7	WOTH
136	Spectrogram 1	1	125.60186525	126.864229545	5273.5	7712.6	BAWW
137	Spectrogram 1	1	126.501546115	128.909138984	1285.8	4377.2	NOCA
138	Spectrogram 1	1	127.01604541299999	128.308889803	3146.1	4349.8	BCCH
139	Spectrogram 1	1	127.942610968	129.15630162	1832.9	2790.4	TUTI
140	Spectrogram 1	1	128.72095606	129.79612767	1176.4	4048.9	WOTH
141	Spectrogram 1	1	129.14310933	130.686607225	2681.0	5799.8	EATO
142	Spectrogram 1	1	129.683607472	132.33525770100002	1258.4	3036.7	NOCA
143	Spectrogram 1	1	131.913104431	133.080622069	1422.6	4240.4	WOTH
144	Spectrogram 1	1	133.208929695	133.302942748	2995.9	4014.5	EATO
145	Spectrogram 1	1	133.49369911	136.290464525	2489.5	8398.7	OVEN
146	Spectrogram 1	1	134.21267889799998	135.347215812	1915.0	2763.1	TUTI
147	Spectrogram 1	1	134.390774809	138.00546218600002	1422.6	2352.7	NOCA
148	Spectrogram 1	1	134.980021023	135.29112502	2834.5	4713.2	EATO
149	Spectrogram 1	1	135.829574246	136.984248696	1680.9	5273.5	WOTH
150	Spectrogram 1	1	138.058543869	139.384368983	2817.8	4377.2	BCCH
151	Spectrogram 1	1	138.19706291100002	139.2986191	1887.7	2763.1	TUTI
152	Spectrogram 1	1	139.32500368	140.26825239299998	1231.1	3665.9	WOTH
153	Spectrogram 1	1	140.336620858	141.926291767	2626.3	5717.7	EATO
154	Spectrogram 1	1	141.64297006299998	144.558466085	1203.7	3802.7	NOCA
155	Spectrogram 1	1	141.972777305	143.18646795700002	2899.9	4349.8	BCCH
156	Spectrogram 1	1	143.03475662600002	143.443717606	2598.9	4213.0	EATO
157	Spectrogram 1	1	145.776970914	147.294084229	2133.9	6046.0	EATO
158	Spectrogram 1	1	147.318181386	148.41973757600002	1723.5	3884.7	WOTH
159	Spectrogram 1	1	147.760123091	151.50013722	1313.2	3064.0	NOCA
160	Spectrogram 1	1	148.432929865	148.709967949	3064.0	4103.6	EATO
161	Spectrogram 1	1	150.071879064	151.252588992	2927.2	4349.8	BCCH
162	Spectrogram 1	1	150.53710007200002	151.895905911	5498.8	7714.8	BAWW
163	Spectrogram 1	1	150.55339763799998	151.720915276	1313.2	3501.7	WOTH
164	Spectrogram 1	1	151.338338875	152.881836769	2270.7	5717.7	EATO
165	Spectrogram 1	1	152.697457238	153.469206185	2516.9	7632.7	OVEN
166	Spectrogram 1	1	152.730437962	154.531185506	1668.8	4158.3	NOCA
167	Spectrogram 1	1	152.838028733	154.055074096	2038.2	2779.4	TUTI
168	Spectrogram 1	1	154.504800926	155.540395667	1203.7	3501.7	WOTH
169	Spectrogram 1	1	154.83352446	157.399424806	1614.1	2544.2	NOCA
170	Spectrogram 1	1	156.904713942	158.42842340200002	2434.8	5827.1	EATO
171	Spectrogram 1	1	158.501293519	159.57646513	1614.1	4076.2	WOTH
172	Spectrogram 1	1	158.936639079	159.959041531	1860.3	2681.0	TUTI
173	Spectrogram 1	1	159.91387930000002	164.550969129	1532.0	2954.6	NOCA
174	Spectrogram 1	1	161.470569485	162.750221585	3036.7	4404.5	BCCH
175	Spectrogram 1	1	162.374241329	163.73304716799998	2462.2	5991.3	EATO
176	Spectrogram 1	1	164.627642782	164.917873155	2845.2	4158.3	EATO
177	Spectrogram 1	1	165.122353646	166.395409601	3255.5	4404.5	BCCH
178	Spectrogram 1	1	165.399391729	168.13019569600002	2462.2	8398.7	OVEN
179	Spectrogram 1	1	165.643449089	166.705428409	1696.2	2708.4	TUTI
180	Spectrogram 1	1	165.800646369	166.710027283	1944.6	5141.7	WOTH
181	Spectrogram 1	1	168.45891923	169.936455676	2434.8	6128.0	EATO
182	Spectrogram 1	1	169.481321681	171.321646094	957.5	5252.6	WOTH
183	Spectrogram 1	1	171.543434934	173.07374053900003	5799.8	7669.6	BAWW
184	Spectrogram 1	1	172.724144862	173.845489486	1258.4	3638.5	WOTH
185	Spectrogram 1	1	172.96820222099998	174.195085163	2954.6	4267.7	BCCH
186	Spectrogram 1	1	174.53700098599998	175.65834561	1750.9	2735.7	TUTI
187	Spectrogram 1	1	174.58317399999999	176.014537432	2653.7	5881.8	EATO
188	Spectrogram 1	1	176.76300707599998	178.56375462	1723.5	4267.7	WOTH
189	Spectrogram 1	1	176.80918009	178.029466887	3036.7	4295.1	BCCH
190	Spectrogram 1	1	177.47539072	178.557158475	1805.6	2489.5	TUTI
191	Spectrogram 1	1	179.85621341700005	181.51184577400002	2571.6	5963.9	EATO
192	Spectrogram 1	1	180.373221578	181.30390332599998	1829.5	5344.0	WOTH
193	Spectrogram 1	1	180.614770075	181.294172994	1915.0	2626.3	TUTI
194	Spectrogram 1	1	184.094356353	185.189316398	1668.8	4596.0	WOTH
195	Spectrogram 1	1	184.655028665	185.65764268200002	1805.6	2817.8	TUTI
196	Spectrogram 1	1	185.17333135599998	187.81838544	2571.6	8918.5	OVEN
197	Spectrogram 1	1	187.521558922	188.67588427099997	1805.6	2626.3	TUTI
198	Spectrogram 1	1	190.652945757	191.74790580200002	1832.9	2653.7	TUTI
199	Spectrogram 1	1	191.68295513700002	193.252837611	2215.9	5827.1	EATO
200	Spectrogram 1	1	193.353488683	194.976140316	1997.1	3200.8	TUTI
201	Spectrogram 1	1	193.81521882299998	195.45765889	5745.0	7549.7	BAWW
202	Spectrogram 1	1	194.49462174200002	195.42467816599998	1532.0	4431.9	WOTH
203	Spectrogram 1	1	196.277987868	197.425717072	1997.1	3146.1	TUTI
204	Spectrogram 1	1	196.808095878	197.873028791	3394.8	4449.6	BCCH
205	Spectrogram 1	1	197.181659712	198.738349896	2407.4	5936.5	EATO
206	Spectrogram 1	1	199.16011757400003	200.49253883400002	2106.5	3009.3	TUTI
207	Spectrogram 1	1	200.710211614	201.46217212599998	1340.5	3693.2	WOTH
208	Spectrogram 1	1	201.792291893	202.953213386	2927.2	4349.8	BCCH
209	Spectrogram 1	1	202.973001821	204.47032670099998	2243.3	6346.9	EATO
210	Spectrogram 1	1	203.395155091	204.701191771	1997.1	2981.9	TUTI
211	Spectrogram 1	1	206.742818472	207.857566952	1942.4	2954.6	TUTI
212	Spectrogram 1	1	207.271443628	208.155877523	2316.2	4261.8	WOTH
213	Spectrogram 1	1	209.04968720099998	210.645954254	2434.8	6155.4	EATO
214	Spectrogram 1	1	209.854416872	211.147261263	2133.9	3091.4	TUTI
215	Spectrogram 1	1	211.33746575400002	212.155387715	1285.8	3310.2	WOTH
216	Spectrogram 1	1	211.607907693	214.00230827299998	2380.1	8371.3	OVEN
217	Spectrogram 1	1	213.32950149799998	214.60915359900002	1860.3	3146.1	TUTI
218	Spectrogram 1	1	214.953163915	215.757893586	1367.9	3720.6	WOTH
219	Spectrogram 1	1	215.678739848	217.235430032	2434.8	5909.2	EATO
220	Spectrogram 1	1	217.771426665	219.295136125	2133.9	3064.0	TUTI
221	Spectrogram 1	1	218.325502832	219.183001663	1532.0	4459.2	WOTH
222	Spectrogram 1	1	218.798789669	220.31505148099998	5635.6	7789.4	BAWW
223	Spectrogram 1	1	222.082825311	223.32949668700002	2188.6	3091.4	TUTI
224	Spectrogram 1	1	222.346671105	223.923149723	2298.0	5936.5	EATO
225	Spectrogram 1	1	224.956962496	225.97276880299998	2079.2	3036.7	TUTI
226	Spectrogram 1	1	229.403076648	230.432075245	1942.4	2954.6	TUTI
227	Spectrogram 1	1	229.654042677	231.131579123	2407.4	6374.3	EATO
228	Spectrogram 1	1	231.53394395799998	232.496981106	1668.8	4048.9	WOTH
229	Spectrogram 1	1	232.32439763099998	235.08158617799998	2434.8	8891.1	OVEN
230	Spectrogram 1	1	234.764971225	236.26229610599998	2079.2	3091.4	TUTI
231	Spectrogram 1	1	235.682147883	236.460492975	2763.1	5608.3	WOTH
232	Spectrogram 1	1	236.473685265	237.93143327599998	2434.8	6374.3	EATO
233	Spectrogram 1	1	237.32458795	238.960431873	5799.8	8015.7	BAWW
234	Spectrogram 1	1	239.02255077	240.477857712	2243.3	3177.5	TUTI
235	Spectrogram 1	1	239.16763190400002	243.092338089	1504.7	2298.0	NOCA
236	Spectrogram 1	1	242.63060794900002	243.87727932599998	2243.3	3009.3	TUTI
237	Spectrogram 1	1	242.67189371900002	244.241776193	2407.4	6073.3	EATO
238	Spectrogram 1	1	245.85674797099998	246.72084294599998	1203.7	3419.7	WOTH
239	Spectrogram 1	1	246.806592829	248.059860351	2215.9	3036.7	TUTI
240	Spectrogram 1	1	248.508012608	250.091087372	2270.7	5936.5	EATO
241	Spectrogram 1	1	248.77185840200002	250.32195244099998	191.5	2243.3	WITU
242	Spectrogram 1	1	252.05774932	253.31761298599997	2270.7	2927.2	TUTI
243	Spectrogram 1	1	252.58544090799998	253.81891999400003	1422.6	4048.9	WOTH
244	Spectrogram 1	1	253.527605912	256.337563617	2516.9	8644.9	OVEN
245	Spectrogram 1	1	254.869284762	255.07565267099997	2686.8	4354.4	EATO
246	Spectrogram 1	1	256.278198314	257.551254269	1969.7	2981.9	TUTI
247	Spectrogram 1	1	256.832274481	257.986599829	2243.3	5909.2	WOTH
248	Spectrogram 1	1	260.581604724	261.491872713	1313.2	3392.3	WOTH
249	Spectrogram 1	1	261.353353671	262.791313248	2598.9	5991.3	EATO
250	Spectrogram 1	1	262.400358591	263.917471906	2051.8	3173.4	TUTI
251	Spectrogram 1	1	263.15359612599997	264.643341437	5635.6	8714.1	BAWW
252	Spectrogram 1	1	263.70639527099996	264.728797723	1586.7	4349.8	WOTH
253	Spectrogram 1	1	266.162880838	267.587648126	2161.2	3064.0	TUTI
254	Spectrogram 1	1	267.317206187	268.84751179200003	2325.4	6346.9	EATO
255	Spectrogram 1	1	269.88551355	271.363049996	2079.2	3200.8	TUTI
256	Spectrogram 1	1	272.41284781	273.481423276	1887.7	3994.2	WOTH
257	Spectrogram 1	1	273.316519654	274.886402128	2380.1	6073.3	EATO
258	Spectrogram 1	1	274.96827555	277.883771573	2571.6	8480.8	OVEN
259	Spectrogram 1	1	275.515755573	276.742638514	2188.6	2954.6	TUTI
260	Spectrogram 1	1	278.953357822	279.71191448	1422.6	4021.5	WOTH
261	Spectrogram 1	1	279.052299995	280.496855717	2188.6	3091.4	TUTI
262	Spectrogram 1	1	279.165031553	280.947985963	5717.7	9340.0	BAWW
263	Spectrogram 1	1	279.665741466	281.090508753	2598.9	6100.7	EATO
264	Spectrogram 1	1	282.276731117	283.66851768	1750.9	5170.5	WOTH
265	Spectrogram 1	1	282.34928871	283.595960086	2188.6	3091.4	TUTI
266	Spectrogram 1	1	285.383129605	286.9266275	2380.1	5909.2	EATO
267	Spectrogram 1	1	285.585561255	286.41118340099996	1384.3	4120.0	WOTH
268	Spectrogram 1	1	285.82507131	287.078338831	2106.5	3009.3	TUTI
269	Spectrogram 1	1	289.155040749	290.263193084	2106.5	3036.7	TUTI
270	Spectrogram 1	1	291.054344873	293.54109148099997	1149.0	2544.2	NOCA
271	Spectrogram 1	1	291.364363681	293.079361342	2489.5	6018.6	EATO
272	Spectrogram 1	1	292.268035525	293.475130032	2188.6	2927.2	TUTI
273	Spectrogram 1	1	292.38140130000005	293.171126831	1878.7	3988.1	WOTH
274	Spectrogram 1	1	295.54903905599997	296.921037184	1231.1	5307.3	WOTH
275	Spectrogram 1	1	295.925019312	297.13211381900004	2215.9	2872.5	TUTI
276	Spectrogram 1	1	296.65719139	299.533110544	1176.4	2243.3	NOCA
277	Spectrogram 1	1	297.332405182	299.9972477	2516.9	8316.6	OVEN
278	Spectrogram 1	1	297.776601062	298.051758274	2501.5	4539.7	EATO
279	Spectrogram 1	1	299.298056346	299.984055411	2133.9	2981.9	TUTI
